,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,totalGames,winRate,masteryRatio,mostPlayedID
140,IRON,I,m_Yd3LXB3vc7KisFyXlLhpqpj65JvnnQM3aFD4yJBMe228qG,ANiceSpy,55,3,9,12,25.0,26.092115848753018,19.0
141,IRON,I,zofnF7HVAGo-3y1HTLN96Vu5ale0niQYjeX-pEL9WCW-toq2,ShturmansLeftEye,20,7,3,10,70.0,1.179903987198293,555.0
142,IRON,I,57LAW0XAtH6LcLczIhQ9amnAV3XMWHrANo9D-pnCOKDBVT3X,bravemender7,0,4,10,14,28.57142857142857,1.5459226273309212,63.0
143,IRON,I,RsFzqlHedHNHxNQ_k1-6Sb4mvEaaPJPPVsUWyy10Z9GEmtD2,mochiballs,18,5,7,12,41.66666666666667,1.7475339687126623,99.0
144,IRON,I,JbgcPpwshUYQEg9mxc_BcGUHHJulLaeBSaCwDX1blqR2vciq,I gank too much,59,4,6,10,40.0,1.4011458034947006,23.0
145,IRON,I,1rbqJANZa_qfrzjiBPvKAzTeFzBejJE_y20mqC5UG20D6Jz5,maximusprime1012,52,3,8,11,27.27272727272727,1.055639776795794,240.0
146,IRON,I,EwCRbLI6mhFzZzopACaZFMYk09kEZY46m1wipYREN7ESGmkq,Lynner54,78,12,15,27,44.44444444444444,1.60549278010862,99.0
147,IRON,I,wVQfHWp867ulQiBUm4hB3Ofaeda_J7tDWhxlMSY3-fTg04gr,Venumon378,24,12,5,17,70.58823529411765,2.2815112276675955,55.0
148,IRON,I,UZfThDG-RXr8P-qQgrEKtuvKK7hDBzeIkxtkazg9OYVaO6h7,DieFlugel233,73,10,6,16,62.5,1.188511239005321,39.0
149,IRON,I,sPNQljQLXZ_H3hMrIISRcP9DEi1ChiPdBQLrW4KNnfgJllJO,MyMel0dy,0,8,20,28,28.57142857142857,1.0709465972623868,39.0
150,IRON,I,l1OL25ZyJ9OaopEz_2g7aar16ZVfCggyjOzVSYECwtzQUY7D,akaremix,58,2,12,14,14.285714285714285,1.570821362509347,101.0
